"region","year","rate"
"Автономна Республіка Крим",1990,2.5
"Вінницька область",1990,-2.1
"Волинська область",1990,4
"Дніпропетровська область",1990,0.5
"Донецька область",1990,-1.2
"Житомирська область",1990,-0.3
"Закарпатська область",1990,7.5
"Запорізька область",1990,0.5
"Івано-Франківська область",1990,5.1
"Київська область",1990,-0.7
"Кіровоградська область",1990,-1.9
"Луганська область",1990,-0.6
"Львівська область",1990,3.6
"Миколаївська область",1990,1.7
"Одеська область",1990,0.2
"Полтавська область",1990,-2.5
"Рівненська область",1990,5.2
"Сумська область",1990,-3.1
"Тернопільська область",1990,1.4
"Харківська область",1990,-1.4
"Херсонська область",1990,2.7
"Хмельницька область",1990,-0.6
"Черкаська область",1990,-2.1
"Чернівецька область",1990,3.8
"Чернігівська область",1990,-4
"м. Київ",1990,3.4
"м. Севастополь (міськрада)",1990,3.2
"Автономна Республіка Крим",1991,0.9
"Вінницька область",1991,-3.2
"Волинська область",1991,2
"Дніпропетровська область",1991,-0.8
"Донецька область",1991,-2.5
"Житомирська область",1991,-1
"Закарпатська область",1991,6.4
"Запорізька область",1991,-0.7
"Івано-Франківська область",1991,3.7
"Київська область",1991,-2.4
"Кіровоградська область",1991,-2.8
"Луганська область",1991,-1.7
"Львівська область",1991,2.4
"Миколаївська область",1991,0.2
"Одеська область",1991,-1.2
"Полтавська область",1991,-3.4
"Рівненська область",1991,3.9
"Сумська область",1991,-4
"Тернопільська область",1991,0.4
"Харківська область",1991,-2.9
"Херсонська область",1991,1.5
"Хмельницька область",1991,-1.7
"Черкаська область",1991,-3.3
"Чернівецька область",1991,2.9
"Чернігівська область",1991,-5.7
"м. Київ",1991,1.8
"м. Севастополь (міськрада)",1991,1.7
"Автономна Республіка Крим",1992,-0.7
"Вінницька область",1992,-3.7
"Волинська область",1992,2.4
"Дніпропетровська область",1992,-2.7
"Донецька область",1992,-4.3
"Житомирська область",1992,-1.7
"Закарпатська область",1992,5.8
"Запорізька область",1992,-2.5
"Івано-Франківська область",1992,3.1
"Київська область",1992,-3.4
"Кіровоградська область",1992,-3.8
"Луганська область",1992,-4
"Львівська область",1992,2
"Миколаївська область",1992,-0.8
"Одеська область",1992,-1.9
"Полтавська область",1992,-4.9
"Рівненська область",1992,3.5
"Сумська область",1992,-5.3
"Тернопільська область",1992,-0.1
"Харківська область",1992,-4.1
"Херсонська область",1992,0.5
"Хмельницька область",1992,-2.2
"Черкаська область",1992,-4.1
"Чернівецька область",1992,2
"Чернігівська область",1992,-6.7
"м. Київ",1992,0.2
"м. Севастополь (міськрада)",1992,-0.7
"Автономна Республіка Крим",1993,-2.7
"Вінницька область",1993,-5.4
"Волинська область",1993,1.4
"Дніпропетровська область",1993,-4.4
"Донецька область",1993,-6.2
"Житомирська область",1993,-2.8
"Закарпатська область",1993,4.4
"Запорізька область",1993,-4.1
"Івано-Франківська область",1993,2.4
"Київська область",1993,-5.1
"Кіровоградська область",1993,-5.6
"Луганська область",1993,-5.9
"Львівська область",1993,1.1
"Миколаївська область",1993,-2.4
"Одеська область",1993,-3.2
"Полтавська область",1993,-6.7
"Рівненська область",1993,3.1
"Сумська область",1993,-7.5
"Тернопільська область",1993,-1.2
"Харківська область",1993,-6.2
"Херсонська область",1993,-1.2
"Хмельницька область",1993,-3.6
"Черкаська область",1993,-6.2
"Чернівецька область",1993,0.9
"Чернігівська область",1993,-8.5
"м. Київ",1993,-1.7
"м. Севастополь (міськрада)",1993,-2.7
"Автономна Республіка Крим",1994,-4.3
"Вінницька область",1994,-6.2
"Волинська область",1994,0.2
"Дніпропетровська область",1994,-5.8
"Донецька область",1994,-7.5
"Житомирська область",1994,-4
"Закарпатська область",1994,2.9
"Запорізька область",1994,-5.2
"Івано-Франківська область",1994,1.5
"Київська область",1994,-5.9
"Кіровоградська область",1994,-6.4
"Луганська область",1994,-7.5
"Львівська область",1994,0
"Миколаївська область",1994,-3.7
